question,ground_truth_answer,source_url,app,difficulty,category
"How do I download songs for offline listening on Spotify?","To download songs for offline listening, you need a Spotify Premium subscription. Open the album, playlist, or podcast you want to download, then tap the Download toggle. The content will download to your device and you can listen without internet. You can download up to 10,000 songs on up to 5 different devices.","https://support.spotify.com/us/article/listen-offline/","spotify","easy","features"
"What is the difference between Spotify Free and Spotify Premium?","Spotify Free allows ad-supported listening with shuffle-only mode on mobile, limited skips, and no offline downloads. Spotify Premium removes ads, enables on-demand playback on all devices, allows offline downloads, provides higher audio quality up to 320kbps, and includes unlimited skips.","https://support.spotify.com/us/article/spotify-free-vs-spotify-premium/","spotify","easy","plans"
"How many devices can I use Spotify on simultaneously?","With Spotify Free, you can use Spotify on multiple devices but can only stream on one device at a time. With Spotify Premium, you can switch between devices but still only actively stream on one device at a time. Spotify Premium Family allows separate accounts but not simultaneous streams on the same account.","https://support.spotify.com/us/article/spotify-on-multiple-devices/","spotify","medium","account"
"How do I change my Spotify audio quality settings?","Go to Settings > Audio Quality. You can set streaming quality separately for Wi-Fi and mobile data. Options include Low (24kbit/s), Normal (96kbit/s), High (160kbit/s), and Very High (320kbit/s, Premium only). You can also enable or disable the Normalize Volume option.","https://support.spotify.com/us/article/audio-quality/","spotify","easy","settings"
"How can I share my Spotify listening activity with friends?","You can share your listening activity via Spotify's Friend Activity feature. Go to Settings > Social and enable 'Share my listening activity on Spotify'. Friends who follow you can then see what you are listening to in the Friend Activity feed on desktop. You can also share specific songs, albums, or playlists via the share button.","https://support.spotify.com/us/article/social/","spotify","medium","social"
"How do I cancel my Spotify Premium subscription?","To cancel Spotify Premium, go to your account page at spotify.com/account, click Manage your plan, then click Change or Cancel. Follow the prompts to cancel. Your Premium benefits continue until the end of your current billing period, after which your account reverts to Spotify Free.","https://support.spotify.com/us/article/how-to-cancel-your-subscription/","spotify","easy","billing"
"What happens to my downloaded music if I cancel Spotify Premium?","When your Spotify Premium subscription ends, all downloaded music becomes unavailable for offline listening. The downloads remain on your device temporarily but you cannot play them. If you resubscribe to Premium, your downloads may need to be refreshed. You can still stream the same content with ads on Spotify Free.","https://support.spotify.com/us/article/listen-offline/","spotify","medium","billing"
"How do I create a collaborative playlist on Spotify?","To create a collaborative playlist, first create a new playlist. Then tap the three dots menu on the playlist, select Collaborative Playlist. A collaborative icon will appear on the playlist. You can then share the playlist link with others, and anyone with the link can add, remove, or reorder songs.","https://support.spotify.com/us/article/collaborative-playlists/","spotify","medium","features"
"How does Spotify's Crossfade feature work?","Crossfade smoothly transitions between songs by overlapping the end of one track with the beginning of the next. To enable it, go to Settings > Playback > Crossfade Songs. You can adjust the crossfade duration from 1 to 12 seconds using the slider. Crossfade works on all tracks except podcasts.","https://support.spotify.com/us/article/crossfade/","spotify","medium","features"
"Can I listen to Spotify without a data connection using only Wi-Fi downloads?","Yes, if you have Spotify Premium you can download content over Wi-Fi and listen offline without any data connection. Enable offline mode in Settings to prevent Spotify from using mobile data. Downloaded content is stored locally on your device and accessible without internet.","https://support.spotify.com/us/article/listen-offline/","spotify","hard","features"
"How do I set up end-to-end encrypted messages on WhatsApp?","All personal messages, calls, photos, videos, and voice messages on WhatsApp are end-to-end encrypted by default. No setup is required. You can verify the encryption with a specific contact by opening the chat, tapping the contact name, then tapping Encryption to view and compare the security code.","https://faq.whatsapp.com/general/security-and-privacy/end-to-end-encryption","whatsapp","medium","security"
"How can I use WhatsApp on multiple devices?","WhatsApp's Linked Devices feature allows you to use the same account on up to 4 additional devices simultaneously, even if your phone is offline. Go to WhatsApp on your phone, tap the three dots menu > Linked Devices > Link a Device, then scan the QR code displayed on the other device.","https://faq.whatsapp.com/general/linked-devices","whatsapp","easy","features"
